id,name,author,pub_year,star_rating,num_ratings,genres,sport_primary,sport_all,sport_confidence,sport_method,summary_preview,pub_year_source,pub_year_original
61767292-icebreaker,Icebreaker,"[""Hannah  Grace""]",2022,3.74,1293139,"[""Romance"", ""Sports Romance"", ""Sports"", ""Hockey"", ""Contemporary"", ""Audiobook"", ""Enemies To Lovers"", ""Fiction"", ""Contemporary Romance"", ""Hockey Romance""]",Ice Hockey,"[""Ice Hockey""]",0.95,genre_tag,"Anastasia Allen has worked her entire life for a shot at Team USA. It looks like everything is going according to plan when she gets a full scholarship to the University of California, Maple Hills, and lands a place on their competitive figure skating team.

Nothing will stand in her way, not even...",goodreads_original,2022
45484397-the-deal,The Deal,"[""Elle Kennedy""]",2000,4.2,1041405,"[""Romance"", ""Sports Romance"", ""New Adult"", ""Sports"", ""Contemporary"", ""College"", ""Contemporary Romance"", ""Hockey"", ""Fake Dating"", ""Friends To Lovers""]",Ice Hockey,"[""Ice Hockey""]",0.95,genre_tag,"She's about to make a deal with the college bad boy... Hannah Wells has finally found someone who turns her on. But while she might be confident in every other area of her life, she's carting around a full set of baggage when it comes to sex and seduction. If she wants to get her crush's attention, ...",goodreads_original,2000
125157226-flawless,Flawless,"[""Elsie Silver""]",2022,4.02,665886,"[""Romance"", ""Westerns"", ""Contemporary Romance"", ""Sports Romance"", ""Contemporary"", ""Enemies To Lovers"", ""Forced Proximity"", ""Small Town Romance"", ""Cowboy Romance"", ""Sports""]",Rodeo / Cowboy Sports,"[""Rodeo / Cowboy Sports""]",0.95,genre_tag,"The rules were simple: keep his hands off his agent's daughter and stay out of trouble.

But now he's stuck with her. There's only one bed. And well, rules are made to be broken.

Rhett Eaton is the face of professional bull riding. The golden boy. Or at least he was until it all blew up in his ...",goodreads_original,2022
45756920-the-mistake,The Mistake,"[""Elle Kennedy""]",2015,3.97,575181,"[""Romance"", ""Sports Romance"", ""New Adult"", ""Sports"", ""Contemporary"", ""Hockey"", ""College"", ""Contemporary Romance"", ""Hockey Romance"", ""College Romance""]",Ice Hockey,"[""Ice Hockey""]",0.95,genre_tag,"Get ready for another binge-worthy romance from international bestselling author and TikTok sensation Elle Kennedy. He's a player in more ways than one… College junior John Logan can get any girl he wants. For this hockey star, life is a parade of parties and hook-ups, but behind his killer grins an...",goodreads_original,2015
146943294-binding-13,Binding 13,"[""Chloe Walsh""]",2018,4.45,570773,"[""Romance"", ""Sports Romance"", ""Sports"", ""Contemporary"", ""Friends To Lovers"", ""Young Adult"", ""Contemporary Romance"", ""Slow Burn"", ""High School"", ""Fiction""]",Rugby,"[""Rugby"", ""Tennis"", ""Volleyball"", ""Cricket"", ""Lacrosse"", ""Dance""]",0.4,keyword,"An epic and unforgettable love story begins in Binding 13, the first in the international bestselling and TikTok-phenomenon The Boys of Tommen series, from Chloe Walsh.

He wants to save her. She wants to hide.

She's damaged. He's determined.

Fate brought them together. Love binds them.

J...",goodreads_original,2018
60909831-mile-high,Mile High,"[""Liz Tomforde""]",2022,4.02,534607,"[""Romance"", ""Sports Romance"", ""Sports"", ""Hockey"", ""Contemporary"", ""Contemporary Romance"", ""Enemies To Lovers"", ""Hockey Romance"", ""Audiobook"", ""Forced Proximity""]",Ice Hockey,"[""Ice Hockey""]",0.95,genre_tag,"ZANDERS

Chicago hockey isn't complete without me - everyone's favourite player to hate. I know my role, and I play it well. In fact, I thoroughly enjoy spending the majority of my game time in the penalty box before leaving the arena with a new girl on my arm each night.

What I don't like is t...",goodreads_original,2022
44593125-the-score,The Score,"[""Elle Kennedy""]",2016,4.14,505522,"[""Romance"", ""Sports Romance"", ""New Adult"", ""Sports"", ""Contemporary"", ""Hockey"", ""College"", ""Contemporary Romance"", ""Hockey Romance"", ""College Romance""]",Ice Hockey,"[""Ice Hockey""]",0.95,genre_tag,"A New York Times bestseller! Get ready for another binge-worthy romance from international bestselling author Elle Kennedy.

He knows how to score, on and off the ice...

Allie Hayes is in crisis mode. With graduation looming, she still doesn’t have the first clue about what she's going to do af...",goodreads_original,2016
101145836-wildfire,Wildfire,"[""Hannah  Grace""]",2023,3.81,469584,"[""Romance"", ""Sports Romance"", ""Audiobook"", ""Contemporary"", ""Contemporary Romance"", ""Hockey"", ""Sports"", ""Fiction"", ""New Adult"", ""Hockey Romance""]",Ice Hockey,"[""Ice Hockey""]",0.95,genre_tag,"The latest in the Maple Hills series follows two summer camp counselors who reconnect after a sizzling one-night stand.

Maple Hills students Russ Callaghan and Aurora Roberts cross paths at a party celebrating the end of the academic year, where a drinking game results in them having a passionate...",goodreads_original,2023
84943172-the-right-move,The Right Move,"[""Liz Tomforde""]",2023,4.39,459069,"[""Romance"", ""Sports Romance"", ""Sports"", ""Fake Dating"", ""Forced Proximity"", ""Contemporary"", ""Contemporary Romance"", ""Audiobook"", ""Basketball"", ""Adult""]",Basketball,"[""Basketball""]",0.95,genre_tag,"RYAN

She’s a distraction, that’s what she is. 

I’m the newest Captain of the Devils, Chicago’s NBA team, and the last thing I needed this year was for Indy Ivers, my sister’s best friend, to move into my apartment. She’s messy, emotional, and way too tempting.

But when the team’s General Ma...",goodreads_original,2023
125195303-powerless,Powerless,"[""Elsie Silver""]",2023,4.04,446415,"[""Romance"", ""Friends To Lovers"", ""Sports Romance"", ""Contemporary Romance"", ""Small Town Romance"", ""Sports"", ""Contemporary"", ""Hockey"", ""Westerns"", ""Cowboy Romance""]",Ice Hockey,"[""Ice Hockey""]",0.7,keyword,"Two childhood friends. Two broken hearts. One impromptu road trip to get away from everything. That’s all this was supposed to be. Afterall, I’ve been living in the friend zone for years now.

But hockey heartthrob Jasper Gervais isn’t looking at me like a friend anymore. And he isn’t touching me ...",goodreads_original,2023
